cohort,total_patients,measurement,driver,total_driver_events,covariate,est,se,pval,correlation_ATRX,correlation_POT1,correlation_TERT,total_ATRX,total_POT1,total_TERT,total_cooccurrence_ATRX,total_cooccurrence_POT1,total_cooccurrence_TERT,frac_cooccurrence_ATRX,frac_cooccurrence_POT1,frac_cooccurrence_TERT,colors,main_driver,min_p
Colon,813,purity_svTMB,PIK3CA,140,+ as.factor(biopsy) + purity + purity_ploidy,-0.0755016514089037,0.0187179542424194,6.01445235080327e-05,-0.04,0.01,0.01,17,5,14,1,1,3,0.06,0.2,0.21,Negative (p < .1),MUTATION,4.49653178285608e-08
Colon,813,purity_svTMB,STS,21,+ as.factor(biopsy) + purity + purity_ploidy,0.0663121809348614,0.0165489059173568,6.71854132105133e-05,0.03,-0.01,0.1,17,5,14,1,0,2,0.06,0,0.14,Positive (p < .1),DELETION,1.52254603506986e-38
Colon,813,purity_svTMB,RAD51B,39,+ as.factor(biopsy) + purity + purity_ploidy,0.0975905184145372,0.0243603162457841,6.74412997922281e-05,-0.03,-0.02,-0.03,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,6.92639604504353e-144
Colon,813,purity_svTMB,RNF43,79,+ as.factor(biopsy) + purity + purity_ploidy,0.0511856353178854,0.0129688198950328,8.61160000785323e-05,0.01,-0.03,-0.04,17,5,14,2,0,0,0.12,0,0,Positive (p < .1),MUTATION,3.83693742451777e-31
Colon,813,purity_svTMB,APC,650,+ as.factor(biopsy) + purity + purity_ploidy,-0.074274212121499,0.019157467855175,0.000114354753120763,-0.01,0.04,0.02,17,5,14,13,5,12,0.76,1,0.86,Negative (p < .1),MUTATION,7.35580134360081e-19
Colon,813,purity_svTMB,CTCF,8,+ as.factor(biopsy) + purity + purity_ploidy,0.104945721252139,0.0285030685882167,0.000246941349428206,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,5.91227626548783e-20
Colon,813,purity_svTMB,BRCA1,7,+ as.factor(biopsy) + purity + purity_ploidy,0.096917145916275,0.0264042327454856,0.000258023240331348,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.84550231218137e-62
Colon,813,teal_final_ratio,NF2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.16513438422413,0.0453379319272148,0.000287508856778601,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,5.28282231457359e-20
Colon,813,purity_svTMB,CCND2,21,+ as.factor(biopsy) + purity + purity_ploidy,0.0464192691343923,0.0135847841882794,0.000664907411564044,-0.02,-0.01,0.16,17,5,14,0,0,3,0,0,0.21,Positive (p < .1),AMPLIFICATION,1.37054065169879e-13
Colon,813,purity_svTMB,NIPBL,21,+ as.factor(biopsy) + purity + purity_ploidy,0.0788763119358888,0.0244745340189517,0.00132057131692341,0.08,0.09,-0.02,17,5,14,2,1,0,0.12,0.2,0,Positive (p < .1),MUTATION,1.61914418604042e-77
Colon,813,purity_svTMB,CDK12,23,+ as.factor(biopsy) + purity + purity_ploidy,0.0806651446723594,0.0250344005971122,0.00132339167851522,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,8.63852594217502e-108
Colon,813,teal_final_ratio,EP300,10,+ as.factor(biopsy) + purity + purity_ploidy,0.0779182225269984,0.0244704810897184,0.00150753481480736,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,3.76290246507647e-16
Colon,813,purity_svTMB,MET,10,+ as.factor(biopsy) + purity + purity_ploidy,0.0773243963711715,0.0243851313687281,0.00157688518883685,0.06,0.13,-0.01,17,5,14,1,1,0,0.06,0.2,0,Positive (p < .1),AMPLIFICATION,8.98330777093919e-12
Colon,813,teal_final_ratio,SGCZ,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0480375943121348,0.0155590343868081,0.0020881211567712,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,0.000885044562619857
Colon,813,purity_svTMB,AKT1,9,+ as.factor(biopsy) + purity + purity_ploidy,-0.0745934368301602,0.0250601237835145,0.00300216373964353,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),MUTATION,0.000316444003854629
Colon,813,purity_svTMB,PPM1D,3,+ as.factor(biopsy) + purity + purity_ploidy,0.124443190480252,0.0428606346772625,0.00379181378916422,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,2.51673934379716e-46
Colon,813,purity_svTMB,KEAP1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.133624966494796,0.0464555998917077,0.0041286455773396,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,4.19308923021468e-16
Colon,813,purity_svTMB,IMMP2L,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0571649944803751,0.0199666673115654,0.00430521304017257,0.13,0,-0.01,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),DELETION,7.37688163468568e-11
Colon,813,teal_final_ratio,ARAF,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0405177542744919,0.0143125368407193,0.00475701438409342,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.18739481569173e-05
Colon,813,purity_svTMB,TBL1XR1,8,+ as.factor(biopsy) + purity + purity_ploidy,0.106697206957729,0.0379245501629151,0.00502140546920124,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,1.27779636091413e-68
Colon,813,teal_final_ratio,PRKN,54,+ as.factor(biopsy) + purity + purity_ploidy,0.0252064923158083,0.00896720563111533,0.00505931573158527,0.06,0.04,-0.04,17,5,14,3,1,0,0.18,0.2,0,Positive (p < .1),DELETION,1.48366172020268e-16
Colon,813,purity_svTMB,MAP2K4,54,+ as.factor(biopsy) + purity + purity_ploidy,0.0500787526814527,0.0180393813132202,0.00562959624041115,0,-0.02,0,17,5,14,1,0,1,0.06,0,0.07,Positive (p < .1),DELETION,4.37419528021566e-20
Colon,813,purity_svTMB,RARG,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0704470974586381,0.0254323155437266,0.0057350089405386,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,7.8222904018245e-08
Colon,813,purity_svTMB,EPCAM,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0733360206366377,0.0268515508443853,0.00644917360401234,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,5.22227392889551e-09
Colon,813,purity_svTMB,PPP2R2A,11,+ as.factor(biopsy) + purity + purity_ploidy,0.0553371447313212,0.0204469300491173,0.00694614350334654,0.13,0.13,-0.02,17,5,14,2,1,0,0.12,0.2,0,Positive (p < .1),DELETION,2.60270564269619e-20
Colon,813,purity_svTMB,CTNNA1,16,+ as.factor(biopsy) + purity + purity_ploidy,0.0623224956023592,0.0230977863314174,0.00711750202000002,0.04,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),DELETION,2.22665868920114e-88
Colon,813,purity_svTMB,TP63,4,+ as.factor(biopsy) + purity + purity_ploidy,0.118125177836752,0.0439920096240724,0.00739889496391958,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.8093172259775e-51
Colon,813,purity_svTMB,STK11,18,+ as.factor(biopsy) + purity + purity_ploidy,0.0825962659022871,0.0310899095010366,0.00804745835470506,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,8.97162721021121e-16
Colon,813,purity_svTMB,MSH6,7,+ as.factor(biopsy) + purity + purity_ploidy,0.0550228600937683,0.0207363948527261,0.00812459275152329,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.96690993403608e-15
Colon,813,teal_final_ratio,ETS2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0465335326490902,0.0180557518220299,0.0101369249179706,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,0.000535436905592827
Colon,813,purity_svTMB,FHIT,63,+ as.factor(biopsy) + purity + purity_ploidy,0.0403790755519501,0.015924567557546,0.011412102400152,0.05,-0.02,0,17,5,14,3,0,1,0.18,0,0.07,Positive (p < .1),DELETION,6.32696667464287e-61
Colon,813,purity_svTMB,TOP2A,6,+ as.factor(biopsy) + purity + purity_ploidy,0.0596798704151978,0.0241036596688623,0.0134922139235422,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,7.67262519428152e-10
Colon,813,purity_svTMB,FOXP1,27,+ as.factor(biopsy) + purity + purity_ploidy,0.0512979770838259,0.0210479292842464,0.0150171443147727,0.02,-0.01,0.03,17,5,14,1,0,1,0.06,0,0.07,Positive (p < .1),MUTATION,7.4573332102344e-37
Colon,813,purity_svTMB,PUDP,25,+ as.factor(biopsy) + purity + purity_ploidy,0.0345783729085271,0.0143475065142825,0.0161731538957188,0.12,-0.01,-0.02,17,5,14,3,0,0,0.18,0,0,Positive (p < .1),DELETION,1.24089665363382e-27
Colon,813,teal_final_ratio,CREBBP,42,+ as.factor(biopsy) + purity + purity_ploidy,0.0367208619393035,0.0153468818285829,0.0169520776761664,-0.03,-0.02,0.01,17,5,14,0,0,1,0,0,0.07,Positive (p < .1),MUTATION,2.62448147796843e-35
Colon,813,purity_svTMB,VEGFA,10,+ as.factor(biopsy) + purity + purity_ploidy,0.0380660662809024,0.0160153996872882,0.0176944439692676,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,7.54658497089336e-22
Colon,813,teal_final_ratio,MET,10,+ as.factor(biopsy) + purity + purity_ploidy,0.0460724818036611,0.0194195668376124,0.0179033572018051,0.06,0.13,-0.01,17,5,14,1,1,0,0.06,0.2,0,Positive (p < .1),AMPLIFICATION,8.98330777093919e-12
Colon,813,purity_svTMB,FLCN,14,+ as.factor(biopsy) + purity + purity_ploidy,0.0320527060307663,0.0135568966036203,0.0183001515315696,0.05,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.99855869065244e-09
Colon,813,purity_svTMB,KMT2C,36,+ as.factor(biopsy) + purity + purity_ploidy,0.0658218729024486,0.0279591894903252,0.0188013670895331,0.05,-0.02,-0.03,17,5,14,2,0,0,0.12,0,0,Positive (p < .1),MUTATION,6.54507053073742e-53
Colon,813,purity_svTMB,RAF1,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.0645495804987847,0.0274303170904749,0.0188512570187552,0.13,0,-0.01,17,5,14,1,0,0,0.06,0,0,Negative (p < .1),AMPLIFICATION,0.00016979565986301
Colon,813,teal_final_ratio,APC,650,+ as.factor(biopsy) + purity + purity_ploidy,0.0357944586372915,0.015304417094278,0.0195879401703341,-0.01,0.04,0.02,17,5,14,13,5,12,0.76,1,0.86,Positive (p < .1),MUTATION,7.35580134360081e-19
Colon,813,teal_final_ratio,EPCAM,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0497249400962973,0.0213523749470294,0.0201175351100062,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,5.22227392889551e-09
Colon,813,teal_final_ratio,SETD2,10,+ as.factor(biopsy) + purity + purity_ploidy,-0.0637744497852304,0.0274379767995332,0.0203567081912229,0.14,-0.01,0.07,17,5,14,2,0,1,0.12,0,0.07,Negative (p < .1),MUTATION,0.000290929996803522
Colon,813,teal_final_ratio,POT1,5,+ as.factor(biopsy) + purity + purity_ploidy,0.05647489593296,0.0242994424472693,0.0203669418370301,-0.01,,-0.01,17,,14,0,,0,0,,0,Positive (p < .1),MUTATION,8.29137557522348e-83
Colon,813,purity_svTMB,BARD1,8,+ as.factor(biopsy) + purity + purity_ploidy,0.0443884264809434,0.0192426070471736,0.0213202319604482,0.07,-0.01,-0.01,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,3.21922306005355e-21
Colon,813,purity_svTMB,HOXC13,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0620769837559747,0.0269180818118892,0.0213557912690074,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.54011154070983e-08
Colon,813,purity_svTMB,CCSER1,34,+ as.factor(biopsy) + purity + purity_ploidy,0.0300422176528447,0.0132082632263655,0.0231981581736601,0.06,0.06,0.02,17,5,14,2,1,1,0.12,0.2,0.07,Positive (p < .1),DELETION,1.21035584895005e-21
Colon,813,purity_svTMB,LATS2,9,+ as.factor(biopsy) + purity + purity_ploidy,0.0477489606089685,0.0210108357204277,0.0233139255551468,0.07,-0.01,-0.01,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,2.89029909701673e-06
Colon,813,purity_svTMB,CUX1,17,+ as.factor(biopsy) + purity + purity_ploidy,0.0597114622974226,0.0262877794388418,0.0233827485690609,0.04,-0.01,0.05,17,5,14,1,0,1,0.06,0,0.07,Positive (p < .1),MUTATION,8.30996463781139e-94
Colon,813,purity_svTMB,CBLB,12,+ as.factor(biopsy) + purity + purity_ploidy,0.0424970639496462,0.0195808252317576,0.0302727451009415,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,5.90876110414638e-31
Colon,813,purity_svTMB,MGMT,9,+ as.factor(biopsy) + purity + purity_ploidy,0.0524546268316663,0.0245771351203222,0.033120944602952,0.07,-0.01,-0.01,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.02207429783153e-36
Colon,813,purity_svTMB,ERBB2,51,+ as.factor(biopsy) + purity + purity_ploidy,0.0424790152326274,0.0199513388563808,0.0335463443407714,-0.04,-0.02,-0.03,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.98626799762274e-27
Colon,813,teal_final_ratio,ATR,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0558988327329648,0.026481857731784,0.0350942966368833,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,1.4535546208307e-32
Colon,813,purity_svTMB,NCOR1,20,+ as.factor(biopsy) + purity + purity_ploidy,0.0534469805780915,0.0255447891389006,0.0367256946984075,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,7.69000206528609e-26
Colon,813,purity_svTMB,TCF12,25,+ as.factor(biopsy) + purity + purity_ploidy,0.046333005139236,0.0221663937395245,0.0369097646057857,0.12,-0.01,0.03,17,5,14,3,0,1,0.18,0,0.07,Positive (p < .1),DELETION,3.79770314969941e-92
Colon,813,purity_svTMB,CCND3,9,+ as.factor(biopsy) + purity + purity_ploidy,0.0366556971667471,0.0176694351366598,0.0383477710647993,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,6.83085757156398e-16
Colon,813,teal_final_ratio,KLF5,23,+ as.factor(biopsy) + purity + purity_ploidy,0.017566566207352,0.00849881999028914,0.0390588287693274,0.03,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.65968901709404e-09
Colon,813,purity_svTMB,LRRN3,3,+ as.factor(biopsy) + purity + purity_ploidy,0.040970723887839,0.0199964747159696,0.0407958823751385,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,1.82774222149671e-05
Colon,813,purity_svTMB,FANCA,7,+ as.factor(biopsy) + purity + purity_ploidy,0.048417594897898,0.0236778663804617,0.041194758648778,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.43848300428313e-29
Colon,813,purity_svTMB,CDH10,18,+ as.factor(biopsy) + purity + purity_ploidy,0.0396380118368523,0.019396292633621,0.0413194091307625,0.04,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,4.92611041443599e-19
Colon,813,purity_svTMB,CASP8,13,+ as.factor(biopsy) + purity + purity_ploidy,0.0359424867680861,0.0175983154294909,0.0414389750351754,-0.02,0.12,-0.02,17,5,14,0,1,0,0,0.2,0,Positive (p < .1),MUTATION,4.29984593540763e-16
Colon,813,purity_svTMB,PREX2,2,+ as.factor(biopsy) + purity + purity_ploidy,-0.106350185453723,0.0521611914864427,0.0417886445246053,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),AMPLIFICATION,1.16665884821636e-05
Colon,813,teal_final_ratio,CYLD,20,+ as.factor(biopsy) + purity + purity_ploidy,0.0323202432531048,0.0159439211746251,0.0429792124916228,-0.02,-0.01,0.04,17,5,14,0,0,1,0,0,0.07,Positive (p < .1),MUTATION,0.000131124211629559
Colon,813,purity_svTMB,FLT1,17,+ as.factor(biopsy) + purity + purity_ploidy,0.0350542004055041,0.0174199374906273,0.0445206003499618,0.04,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.56437355191132e-32
Colon,813,purity_svTMB,DIAPH2,6,+ as.factor(biopsy) + purity + purity_ploidy,0.044481642511025,0.0221106663131596,0.0445766346181012,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,3.72316969961509e-10
Colon,813,purity_svTMB,IL7R,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0554458064456451,0.0280740065259834,0.0486108762609017,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.07388246368147e-08
Colon,813,teal_final_ratio,BRD7,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.045955827987169,0.0234060493918377,0.0499416448634576,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),MUTATION,1.82458211920627e-08
Colon,813,purity_svTMB,KDM6A,14,+ as.factor(biopsy) + purity + purity_ploidy,0.0696915130897853,0.0358401952915367,0.052182312879852,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,2.48749036927201e-42
Colon,813,purity_svTMB,ARID1B,27,+ as.factor(biopsy) + purity + purity_ploidy,0.0450093927857122,0.0234013403759822,0.0547862392297478,-0.03,0.07,-0.02,17,5,14,0,1,0,0,0.2,0,Positive (p < .1),MUTATION,3.94985957536403e-82
Colon,813,purity_svTMB,GNAS,13,+ as.factor(biopsy) + purity + purity_ploidy,-0.0399231991220815,0.0207665347133917,0.0548982723097315,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Negative (p < .1),AMPLIFICATION,6.92326027797674e-11
Colon,813,purity_svTMB,IKZF1,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0410381822039606,0.0215053552583888,0.0567108375072309,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,9.85346947855638e-15
Colon,813,purity_svTMB,MYC,19,+ as.factor(biopsy) + purity + purity_ploidy,0.0607757457189566,0.0320492519292868,0.058275101374427,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.64725724779882e-98
Colon,813,purity_svTMB,NF1,36,+ as.factor(biopsy) + purity + purity_ploidy,0.0522120590505691,0.0277254131176911,0.0600357257925619,0.01,-0.02,-0.03,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.89997433130418e-76
Colon,813,purity_svTMB,ERBB4,29,+ as.factor(biopsy) + purity + purity_ploidy,0.0500845228280667,0.0266794599101735,0.0608426512908658,0.02,-0.02,0.03,17,5,14,1,0,1,0.06,0,0.07,Positive (p < .1),MUTATION,1.11966974621437e-134
Colon,813,teal_final_ratio,DOCK8,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0488014838169676,0.0260334706312179,0.0612142368792426,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),DELETION,1.03846947415226e-14
Colon,813,teal_final_ratio,NOTCH1,5,+ as.factor(biopsy) + purity + purity_ploidy,0.0570854644492189,0.0305600227110421,0.0621281884744733,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,1.59457025917963e-08
Colon,813,purity_svTMB,SETD2,10,+ as.factor(biopsy) + purity + purity_ploidy,0.0645749910058195,0.034588712427876,0.0622735128740846,0.14,-0.01,0.07,17,5,14,2,0,1,0.12,0,0.07,Positive (p < .1),MUTATION,0.000290929996803522
Colon,813,teal_final_ratio,CDC73,14,+ as.factor(biopsy) + purity + purity_ploidy,0.0341467312345987,0.0182971964407882,0.0623729751652715,0.05,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,1.83172745795501e-48
Colon,813,purity_svTMB,ARAF,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0334702542263406,0.0180722618904246,0.0643883877984732,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.18739481569173e-05
Colon,813,teal_final_ratio,PDE4D,4,+ as.factor(biopsy) + purity + purity_ploidy,-0.0425019793646744,0.0229778076986225,0.0647235949974034,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),DELETION,8.22669402531054e-26
Colon,813,teal_final_ratio,B2M,28,+ as.factor(biopsy) + purity + purity_ploidy,-0.0245937946121974,0.0134413318328035,0.0676623897139157,0.02,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Negative (p < .1),MUTATION,1.85624895025824e-09
Colon,813,teal_final_ratio,RAD51C,3,+ as.factor(biopsy) + purity + purity_ploidy,0.0470289844600248,0.0259161892614364,0.0699487758083094,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,3.60758310208533e-29
Colon,813,teal_final_ratio,STAT5B,11,+ as.factor(biopsy) + purity + purity_ploidy,0.0262779377034252,0.0145067262019992,0.0704466942174083,-0.02,0.13,-0.02,17,5,14,0,1,0,0,0.2,0,Positive (p < .1),MUTATION,2.57713704982459e-25
Colon,813,purity_svTMB,LMBRD2,5,+ as.factor(biopsy) + purity + purity_ploidy,0.0471200855611512,0.0261444126253657,0.0718721094495893,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,4.52572306241297e-16
Colon,813,purity_svTMB,NBN,18,+ as.factor(biopsy) + purity + purity_ploidy,0.025820455597997,0.0143613672283511,0.0725657645777756,-0.02,-0.01,-0.02,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,1.54409191365129e-20
Colon,813,purity_svTMB,AMER1,56,+ as.factor(biopsy) + purity + purity_ploidy,-0.018771212919103,0.010443823411527,0.0726546519981157,0.03,0.04,-0.04,17,5,14,2,1,0,0.12,0.2,0,Negative (p < .1),MUTATION,7.80965626331779e-05
Colon,813,purity_svTMB,HLA_C,6,+ as.factor(biopsy) + purity + purity_ploidy,-0.0244470315239177,0.0136916018406621,0.074548614159699,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),MUTATION,5.45870200892847e-05
Colon,813,teal_final_ratio,FAT1,22,+ as.factor(biopsy) + purity + purity_ploidy,0.0290808397533699,0.0163200057373204,0.0751401998623179,-0.02,-0.01,0.04,17,5,14,0,0,1,0,0,0.07,Positive (p < .1),MUTATION,3.83021321357284e-15
Colon,813,purity_svTMB,TCF7L2,122,+ as.factor(biopsy) + purity + purity_ploidy,-0.0191582143132587,0.0107534535739944,0.075193505603633,-0.01,-0.03,0.02,17,5,14,2,0,3,0.12,0,0.21,Negative (p < .1),MUTATION,2.38767313356064e-10
Colon,813,teal_final_ratio,ZBTB20,9,+ as.factor(biopsy) + purity + purity_ploidy,0.0252303677009858,0.0141748887698221,0.0754638931617886,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,5.12199762482753e-12
Colon,813,teal_final_ratio,CHEK2,7,+ as.factor(biopsy) + purity + purity_ploidy,-0.037200439690339,0.0209007841430139,0.0754762652147307,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),MUTATION,4.94052574855794e-32
Colon,813,purity_svTMB,MDM2,3,+ as.factor(biopsy) + purity + purity_ploidy,0.106581532697547,0.061287307936813,0.0824087008292525,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),AMPLIFICATION,1.67953318338217e-129
Colon,813,teal_final_ratio,ZFHX3,7,+ as.factor(biopsy) + purity + purity_ploidy,0.0562280206640693,0.0323933132965406,0.0829834425351919,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,8.26320980215548e-45
Colon,813,purity_svTMB,PPP6C,4,+ as.factor(biopsy) + purity + purity_ploidy,0.0420801695514678,0.0242732134523126,0.0833710382933166,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,1.99874287932736e-07
Colon,813,purity_svTMB,ATM,34,+ as.factor(biopsy) + purity + purity_ploidy,0.0351308334967463,0.0204879559840057,0.0867839089318973,-0.03,-0.02,-0.03,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,1.44872097687141e-07
Colon,813,purity_svTMB,GRIN2A,16,+ as.factor(biopsy) + purity + purity_ploidy,0.0415373848364668,0.0242878790864224,0.0876122832448383,0.04,-0.01,-0.02,17,5,14,1,0,0,0.06,0,0,Positive (p < .1),MUTATION,2.47643212326059e-39
Colon,813,teal_final_ratio,TCF12,25,+ as.factor(biopsy) + purity + purity_ploidy,0.0301114770292605,0.0176204109021532,0.0878553764884933,0.12,-0.01,0.03,17,5,14,3,0,1,0.18,0,0.07,Positive (p < .1),DELETION,3.79770314969941e-92
Colon,813,purity_svTMB,PTCH1,2,+ as.factor(biopsy) + purity + purity_ploidy,0.0643795248658841,0.0376882782583941,0.0879827451104593,-0.01,0,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,7.92770885011593e-07
Colon,813,teal_final_ratio,TG,6,+ as.factor(biopsy) + purity + purity_ploidy,-0.0500364436178171,0.029320652797742,0.0882959459149918,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Negative (p < .1),AMPLIFICATION,2.78550620330033e-19
Colon,813,purity_svTMB,FANCM,9,+ as.factor(biopsy) + purity + purity_ploidy,0.0409099269610053,0.0240340448547977,0.0891103940256329,-0.02,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,5.45492362426633e-23
Colon,813,teal_final_ratio,CTNNB1,27,+ as.factor(biopsy) + purity + purity_ploidy,-0.0263300630831067,0.0155245533687333,0.0902673916687382,0.02,-0.01,0.03,17,5,14,1,0,1,0.06,0,0.07,Negative (p < .1),MUTATION,7.07990987657753e-17
Colon,813,teal_final_ratio,CBFB,8,+ as.factor(biopsy) + purity + purity_ploidy,0.0369385713462312,0.0219074897783089,0.0921609325136679,-0.01,-0.01,-0.01,17,5,14,0,0,0,0,0,0,Positive (p < .1),MUTATION,8.73029219841042e-08
Colon,813,teal_final_ratio,NCOA2,3,+ as.factor(biopsy) + purity + purity_ploidy,-0.057974759884572,0.0348388718117027,0.0964851026817028,0.13,0,-0.01,17,5,14,1,0,0,0.06,0,0,Negative (p < .1),AMPLIFICATION,2.12450448041939e-07
Colon,813,purity_svTMB,CREBBP,42,+ as.factor(biopsy) + purity + purity_ploidy,0.032045375280841,0.0193592807831306,0.0982538649491675,-0.03,-0.02,0.01,17,5,14,0,0,1,0,0,0.07,Positive (p < .1),MUTATION,2.62448147796843e-35
