Cohort,Treatment,Biomarkers,Gene,Event,Association,Measurement,Evidence,Protein,Function,Database,Citations
Pan-Cancer,Folinic acid,Consensus Molecular Subtype 2 (CMS2),Multiple,Transcriptomic profile,Response,"RNA-seq, Transcriptomics",High,Mixed,CMS2 subtype shows better response to FA/5-FU + panitumumab,TCGA,https://pubmed.ncbi.nlm.nih.gov/37018649/
Pan-Cancer,Folinic acid,Consensus Molecular Subtype 1 (CMS1),Multiple,Transcriptomic profile,Non-response,"RNA-seq, Transcriptomics",High,Mixed,CMS1 subtype shows poor response to FA/5-FU + panitumumab,TCGA,https://pubmed.ncbi.nlm.nih.gov/37018649/
Pan-Cancer,Folinic acid,Epidermal Growth Factor Receptor (EGFR),EGFR,"Amplification, Mutation",Response,"IHC, PCR, NGS",High,Receptor tyrosine kinase,EGFR wild-type status predicts benefit from FA/5-FU + anti-EGFR therapy,"TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/37018649/, https://www.oncotarget.com/article/27872/text/"
Pan-Cancer,Folinic acid,Microsatellite Instability (MSI),Multiple,Genomic instability,Response,"PCR, NGS, IHC",High,Genomic marker,MSI-high tumors show better response to FA/5-FU therapies,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/37018649/
Pan-Cancer,Hormonal therapy,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, PCR",High,Receptor tyrosine kinase,Overexpression linked to endocrine resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,BRCA1,BRCA1,"Mutation, Deletion",Response,"NGS, PCR, Somatic mutation",High,DNA repair enzyme,Loss increases sensitivity to PARP inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Hormonal therapy,BRCA2,BRCA2,"Mutation, Deletion",Response,"NGS, PCR, Somatic mutation",High,DNA repair enzyme,Loss increases sensitivity to PARP inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Hormonal therapy,PIK3CA,PIK3CA,Mutation,Non-response,"NGS, PCR",High,Enzyme (kinase),Activating mutations drive resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,TP53,TP53,Mutation,Non-response,"NGS, PCR",High,Tumor suppressor,Mutations associated with poor response,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,HER2,ERBB2,Amplification,Non-response,"IHC, FISH, PCR",High,Receptor tyrosine kinase,"HER2+ tumors less responsive to hormonal therapy, may require HER2-targeted tx","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,ESR1 Mutations,ESR1,Mutation,Non-response,"NGS, PCR",High,Nuclear receptor,Mutations confer resistance to endocrine therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Hormonal therapy,PI3K Pathway,PIK3CA,Mutation,Non-response,"NGS, PCR",High,Kinase,Activating mutations linked to resistance to hormonal therapy,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7922594/
Pan-Cancer,Immunotherapy,PD-L1,CD274,"Amplification, Overexpression",Response,"IHC, RNA-seq",High,Immune checkpoint ligand,Inhibits T-cell activation; high expression predicts response to PD-1/PD-L1 blockade,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,TMB (Tumor Mutational Burden),Multiple,Somatic Mutations,Response,"WES, NGS",High,N/A (genomic feature),"High TMB increases neoantigen load, enhancing immunogenicity","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9500013/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/"
Pan-Cancer,Immunotherapy,MSI-H/dMMR,"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion",Response,"PCR, IHC, NGS",High,DNA repair enzymes,"Defective mismatch repair increases mutation load, improving ICI response","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9500013/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/"
Pan-Cancer,Immunotherapy,B2M,B2M,"Mutation, Deletion",Non-response,"NGS, PCR",High,MHC class I component,"Loss impairs antigen presentation, leading to immune evasion","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,JAK1/JAK2,"JAK1, JAK2","Mutation, Deletion",Non-response,"NGS, PCR",High,Kinase,"Mutations disrupt IFN-γ signaling, reducing immune response","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,EGFR,EGFR,"Mutation, Amplification",Non-response,"NGS, PCR",High,Receptor tyrosine kinase,"EGFR mutations linked to poor ICI response, especially in NSCLC","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,HLA Class I,HLA-A/B/C,"Mutation, Deletion",Non-response,"NGS, PCR",High,Antigen-presenting molecule,Loss impairs immune recognition of tumor cells,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Immunotherapy,CD8+ TILs,N/A,N/A,Response,"IHC, Flow cytometry",High,Immune cell marker,High infiltration predicts better ICI response,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10547938/
Pan-Cancer,Multikinase inhibitor,PIK3CA (Hotspot),PIK3CA,Mutation,Response,"Somatic Mutation (PCR, NGS)",High,Kinase (enzyme),Activates PI3K pathway; predicts response to PI3K inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,NTRK Fusion,NTRK1/2/3,Fusion,Response,"Fusion detection (NGS, FISH)",High,Kinase (enzyme),Drives oncogenesis; predicts response to TRK inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,EGFR (Exon 19/21),EGFR,Mutation,Response,"Somatic Mutation (PCR, NGS)",High,Receptor tyrosine kinase,Activates EGFR pathway; predicts response to EGFR inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,ALK Fusion,ALK,Fusion,Response,"Fusion detection (NGS, FISH)",High,Kinase (enzyme),Oncogenic driver; predicts response to ALK inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,RET Fusion,RET,Fusion,Response,"Fusion detection (NGS, FISH)",High,Kinase (enzyme),Oncogenic driver; predicts response to RET inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,HER2 Amplification,ERBB2,Amplification,Response,"Copy number (FISH, IHC)",High,Receptor tyrosine kinase,Promotes growth; predicts response to HER2-targeted therapies,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Multikinase inhibitor,KIT Mutation,KIT,Mutation,Response,"Somatic Mutation (PCR, NGS)",High,Receptor tyrosine kinase,Oncogenic driver; predicts response to KIT inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,TP53,TP53,Mutation,Non-response,Somatic mutation sequencing,High,Tumor suppressor,"Mutations often confer resistance to DNA-damaging agents, including platinum","TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,ERCC1,ERCC1,Overexpression,Non-response,"RNA-seq, IHC",High,DNA repair enzyme,"High expression repairs platinum-induced DNA damage, leading to resistance","TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Platinum,BRCA1,BRCA1,"Mutation, Deletion",Response,"Somatic/germline mutation testing (NGS, PCR)",High,DNA repair enzyme,"Loss impairs homologous recombination, sensitizing to platinum agents","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8928350/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10401074/, https://www.binasss.sa.cr/set21/46.pdf, https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full"
Pan-Cancer,Platinum,BRCA2,BRCA2,"Mutation, Deletion",Response,"Somatic/germline mutation testing (NGS, PCR)",High,DNA repair enzyme,"Loss impairs homologous recombination, sensitizing to platinum agents","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC8928350/, https://pmc.ncbi.nlm.nih.gov/articles/PMC10401074/, https://www.binasss.sa.cr/set21/46.pdf, https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full"
Pan-Cancer,Platinum,ERCC1,ERCC1,"Deletion, Low expression",Non-response,"IHC, RNA-seq, qPCR",High,DNA repair enzyme,Nucleotide excision repair; high expression confers platinum resistance,"TCGA, GEO",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Pyrimidine (ant)agonist,EGFR,EGFR,"Mutation, Amplification",Non-response,"Somatic mutation, PCR",High,Receptor tyrosine kinase,"Activates MAPK pathway, upregulates pyrimidine synthesis, confers resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8194085/
Pan-Cancer,Targeted therapy,BRAF V600E mutation,BRAF,Mutation,Response,"PCR, NGS",High,Kinase,Activates MAPK pathway; predicts response to BRAF inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,KRAS mutation,KRAS,Mutation,Non-response,"PCR, NGS",High,GTPase,Constitutive signaling; predicts resistance to EGFR inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,HER2 amplification,ERBB2,Amplification,Response,"FISH, IHC, NGS",High,Receptor tyrosine kinase,Overexpression drives growth; predicts response to HER2-targeted therapy,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,NTRK fusion,NTRK1/2/3,Gene rearrangement,Response,"NGS, FISH",High,Receptor tyrosine kinase,Constitutive kinase activity; predicts response to TRK inhibitors,"TCGA, COSMIC",https://www.binasss.sa.cr/set21/46.pdf
Pan-Cancer,Targeted therapy,ROS1 fusion,ROS1,Gene rearrangement,Response,"FISH, NGS",High,Receptor tyrosine kinase,Constitutive kinase activity; predicts response to ROS1 inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,RET fusion,RET,Gene rearrangement,Response,"NGS, FISH",High,Receptor tyrosine kinase,Constitutive kinase activity; predicts response to RET inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,BRCA1/2 mutation,BRCA1/2,Mutation,Response,"NGS, PCR",High,DNA repair enzyme,Homologous recombination deficiency; predicts response to PARP inhibitors,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34373099/
Pan-Cancer,Targeted therapy,MSI-High,MLH1/MSH2/etc,Disruption,Response,"PCR, NGS, IHC",High,DNA mismatch repair,High mutation rate; predicts response to immune checkpoint inhibitors,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9500013/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Targeted therapy,TMB-High,Multiple,Mutation burden,Response,NGS,High,Various,High neoantigen load; predicts response to immunotherapy,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC9500013/, https://www.binasss.sa.cr/set21/46.pdf"
Pan-Cancer,Taxane,ABCB1 (MDR1),ABCB1,Amplification,Non-response,"PCR, IHC, RNA-seq",High,Transporter,Drug efflux pump; overexpression leads to taxane resistance,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,TUBB3,TUBB3,Expression,Non-response,"IHC, RNA-seq",High,Structural protein,Beta-tubulin isotype; high expression linked to taxane resistance,"TCGA, GEO",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,BRCA1,BRCA1,Mutation,Response,"Somatic Mutation, PCR",High,DNA repair enzyme,Loss-of-function mutations sensitize to taxanes,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pan-Cancer,Taxane,TP53,TP53,Mutation,Non-response,"Somatic Mutation, PCR",High,Tumor suppressor,Mutations linked to poor response to taxanes,"TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/16/4055
Pancreas PAAD,Chemotherapy,CA19-9,FUT3,Overexpression,Response,Serum ELISA,High,Glycoprotein,Tumor marker; decrease after chemo predicts response,"TCGA, GEO",https://tcr.amegroups.org/article/view/18840/14924
Pancreas PAAD,Chemotherapy,ctDNA (KRAS),KRAS,Mutation,Non-response,"Liquid biopsy, PCR, NGS",High,GTPase (enzyme),Persistent mutant ctDNA predicts poor response,"TCGA, COSMIC",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Chemotherapy,hENT1,SLC29A1,Downregulation,Non-response,"IHC, RNA-seq",High,Nucleoside transporter,Low expression predicts gemcitabine resistance,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Chemotherapy,BRCA1/2,BRCA1/2,Mutation,Response,Germline/somatic sequencing,High,DNA repair enzyme,Mutations predict platinum sensitivity,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC10293428/
Pancreas PAAD,Folinic acid,CA 19-9,N/A,N/A,Response,Serum ELISA,High,Glycoprotein,Tumor marker for diagnosis and response assessment,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,GATA6,GATA6,Expression,Response,"RNA-seq, IHC",High,Transcription factor,"High expression linked to classical subtype, better response to 5-FU/FOLFIRINOX","TCGA, GEO",https://www.frontiersin.org/journals/surgery/articles/10.3389/fsurg.2022.866173/full
Pancreas PAAD,Folinic acid,KRAS Mutation,KRAS,Mutation,Non-response,"PCR, NGS",High,GTPase,"Oncogenic driver, associated with poor response to chemotherapy","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Pancreas PAAD,Folinic acid,TP53 Mutation,TP53,Mutation,Non-response,"PCR, NGS",High,Tumor suppressor,Loss of function linked to chemoresistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC6478006/
Prostate,Anti-AR,AR-V7,AR,Splice Variant,Non-response,"RT-PCR, RNA-seq, IHC",High,Nuclear receptor,Constitutively active AR variant; confers resistance to anti-AR therapies,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9319825/
Prostate,Anti-AR,AR Amplification,AR,Amplification,Non-response,"FISH, NGS, qPCR",High,Nuclear receptor,"Increases AR signaling, driving resistance to AR-targeted agents","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,High AR Activity,AR,Overexpression,Response,Gene expression signature,High,Nuclear receptor,Predicts response to bipolar androgen therapy (BAT),"TCGA, GEO",https://www.jci.org/articles/view/165357
Prostate,Anti-AR,PTEN Loss,PTEN,Deletion/Mutation,Non-response,"IHC, FISH, NGS",High,Phosphatase,"Loss activates PI3K/AKT pathway, reducing AR dependency","TCGA, COSMIC",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Anti-AR,DNA Repair Defects,"BRCA2, ATM",Mutation/Deletion,Non-response,"NGS, HRD panel",High,DNA repair enzymes,Defective repair linked to poor response to AR-targeted agents,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC9319825/
Prostate,Anti-AR,PSA (KLK3),KLK3,Overexpression,Response,Serum ELISA,High,Serine protease,Decline in PSA indicates response to AR-targeted therapy,"TCGA, GEO",https://www.jci.org/articles/view/165357
Prostate,Chemotherapy,PSA,KLK3,Amplification,Response,"Immunoassay (IHC, ELISA)",High,Enzyme (serine protease),Marker of tumor burden; decline indicates response to therapy,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC10649216/
Prostate,Chemotherapy,AR-V7,AR,Splice Variant,Non-response,"RT-PCR, RNA-seq",High,Nuclear receptor,Predicts resistance to AR-targeted therapies and some chemotherapies,"COSMIC, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC5524249/, https://www.mdpi.com/2072-6694/13/22/5723"
Prostate,Chemotherapy,BRCA2,BRCA2,Deletion/Mutation,Response,"NGS, PCR",High,DNA repair enzyme,"Loss sensitizes to PARP inhibitors, platinum-based chemotherapy","COSMIC, TCGA","https://pmc.ncbi.nlm.nih.gov/articles/PMC5524249/, https://www.mdpi.com/2072-6694/13/22/5723"
Prostate,Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, IHC",High,Tumor suppressor,Mutations linked to poor response to chemotherapy,"COSMIC, TCGA",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Chemotherapy,PTEN,PTEN,Deletion/Mutation,Non-response,"IHC, NGS",High,Phosphatase,Loss associated with aggressive disease and poor chemo response,"COSMIC, TCGA",https://www.mdpi.com/2072-6694/13/22/5723
Prostate,Chemotherapy,PHI (Prostate Health Index),KLK2/KLK3,Composite (PSA isoforms),Response,Immunoassay (ELISA),High,Enzyme panel,Combines PSA isoforms for improved risk stratification and therapy monitoring,"TCGA, GEO",https://tau.amegroups.org/article/view/69981/html
Prostate,Hormonal therapy,Androgen Receptor Amplification (ARamp),AR,Amplification,Non-response,"Somatic mutation analysis, FISH, NGS",High,Nuclear receptor,Increased AR gene copy number leads to resistance to next-generation hormonal therapies.,"TCGA, COSMIC",https://pubmed.ncbi.nlm.nih.gov/34716049/
Prostate,Hormonal therapy,Serum Testosterone,N/A,N/A,Response,"Serum assay (ELISA, chemiluminescence)",High,Steroid hormone,Higher baseline testosterone predicts better response to ADT.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,Luminal B Subtype,Multiple,Transcriptional,Response,"RNA-seq, gene expression profiling",High,Mixed (various),Tumors with luminal B signature benefit from early hormone therapy.,"TCGA, GEO","https://www.pcf.org/news/scientists-identify-biomarkers-to-guide-hormone-therapy-for-prostate-cancer/, https://cancer.ucsf.edu/news/2017/05/11/scientists-identify-biomarkers-to-guide-hormone-therapy-for-prostate-cancer"
Prostate,Hormonal therapy,Basal Subtype,Multiple,Transcriptional,Non-response,"RNA-seq, gene expression profiling",High,Mixed (various),Basal subtype less likely to benefit from hormone therapy.,"TCGA, GEO","https://www.pcf.org/news/scientists-identify-biomarkers-to-guide-hormone-therapy-for-prostate-cancer/, https://cancer.ucsf.edu/news/2017/05/11/scientists-identify-biomarkers-to-guide-hormone-therapy-for-prostate-cancer"
Prostate,Hormonal therapy,PTEN Loss,PTEN,Deletion,Non-response,"IHC, FISH, NGS",High,Phosphatase,"PTEN loss leads to PI3K pathway activation, conferring resistance to ADT.","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,TP53 Mutation,TP53,Mutation,Non-response,"NGS, PCR",High,Tumor suppressor,TP53 mutations linked to poor response to hormonal therapy.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,AR-V7 Splice Variant,AR,Splice variant,Non-response,"RT-PCR, NGS",High,Nuclear receptor,AR-V7 variant predicts resistance to enzalutamide/abiraterone.,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Hormonal therapy,PSA (Prostate-Specific Antigen),KLK3,Overexpression,Response,Serum assay (ELISA),High,Serine protease,PSA decline is a marker of response to hormonal therapy.,GEO,https://pmc.ncbi.nlm.nih.gov/articles/PMC8616385/
Prostate,Taxane,TUBB3,TUBB3,Amplification/Overexpression,Non-response,"IHC, RNA-seq",High,Structural protein,High TUBB3 (class III beta-tubulin) linked to taxane resistance by altering microtubule dynamics,"TCGA, COSMIC",https://www.carislifesciences.com/research/publications/taxane-sensitivity-markers-in-prostate-cancer/
Prostate,Taxane,ABCB1 (PGP),ABCB1,Amplification/Overexpression,Non-response,"IHC, RNA-seq, PCR",High,Transporter,"P-glycoprotein effluxes taxanes, reducing intracellular drug concentration","TCGA, COSMIC",https://www.carislifesciences.com/research/publications/taxane-sensitivity-markers-in-prostate-cancer/
Prostate,Taxane,AR (Androgen Receptor),AR,"Mutation, Rearrangement",Response,"IHC, RNA-seq, PCR, NGS",High,Nuclear receptor,AR-positive tumors more likely to respond to taxanes,"TCGA, COSMIC","https://ascopubs.org/doi/10.1200/jco.2016.34.2_suppl.285, https://pmc.ncbi.nlm.nih.gov/articles/PMC11564108/"
Prostate,Taxane,TP53,TP53,"Mutation, Deletion",Non-response,"NGS, PCR",High,Tumor suppressor,TP53 mutations linked to taxane resistance,"TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC11564108/
Prostate,Taxane,Circulating Tumor Cells (CTCs),Multiple,N/A,Response/Non-response,"Liquid biopsy, CellSearch",High,N/A,CTC count reduction after taxane therapy predicts response,GEO,https://weillcornellgucancer.org/2017/10/09/treating-prostate-cancer-with-taxane-therapies-what-the-latest-research-shows/
Prostate,Taxane,PTEN,PTEN,"Deletion, Mutation",Non-response,"NGS, PCR, IHC",High,Tumor suppressor,"PTEN loss activates PI3K/AKT pathway, promoting resistance","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC7259995/
Prostate,Taxane,MDR1,ABCB1,Amplification,Non-response,"IHC, RNA-seq, PCR",High,Transporter,MDR1 overexpression leads to drug efflux and resistance,"TCGA, COSMIC",https://www.carislifesciences.com/research/publications/taxane-sensitivity-markers-in-prostate-cancer/
Skin Melanoma,Anti-PD-1,PD-L1,CD274,"Amplification, Expression",Response/Non-response,"IHC, RNA-seq, PCR",High,Immune checkpoint ligand,Inhibits T cell activation; high expression linked to immune evasion and response prediction,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/, https://www.frontiersin.org/journals/immunology/articles/10.3389/fimmu.2024.1454720/full"
Skin Melanoma,Anti-PD-1,Tumor Mutational Burden (TMB),Multiple,Mutation,Response,Whole-exome sequencing,High,N/A (genomic feature),"High TMB increases neoantigen load, enhancing immune recognition","TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/, https://jitc.bmj.com/content/10/7/e004879"
Skin Melanoma,Anti-PD-1,CD8+ T cell infiltration,N/A,N/A,Response,"IHC, RNA-seq",High,Immune cell marker,High infiltration predicts better response,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC6058029/, https://jitc.bmj.com/content/10/7/e004879"
Skin Melanoma,Immunotherapy,PD-L1,CD274,Amplification/Expression,Response,"IHC, RNA-seq",High,Immune checkpoint ligand,Inhibits T-cell activation; high expression predicts better response to PD-1/PD-L1 inhibitors,"TCGA, GEO","https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/, https://www.curemelanoma.org/blog/how-biomarkers-are-used-in-melanoma"
Skin Melanoma,Immunotherapy,BRAF V600E,BRAF,Mutation,Response,"PCR, NGS",High,Kinase (enzyme),"Activates MAPK pathway; predicts response to BRAF/MEK inhibitors, less clear for immunotherapy","TCGA, COSMIC",https://www.curemelanoma.org/blog/how-biomarkers-are-used-in-melanoma
Skin Melanoma,Immunotherapy,TMB (Tumor Mutational Burden),Multiple,Mutation burden,Response,"WES, NGS",High,N/A (genomic feature),"High TMB increases neoantigen load, enhancing immunogenicity","TCGA, COSMIC",https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/
Skin Melanoma,Immunotherapy,CD8+ TILs,CD8A,Infiltration,Response,"IHC, Flow cytometry",High,Surface glycoprotein,High infiltration correlates with better response to immunotherapy,"TCGA, GEO",https://www.mdpi.com/1422-0067/24/1/41
Skin Melanoma,Immunotherapy,T-cell Inflamed GEP,Multiple,Expression,Response,RNA-seq,High,N/A (gene signature),Reflects immune activation in tumor microenvironment,"TCGA, GEO",https://pmc.ncbi.nlm.nih.gov/articles/PMC8070445/
Unknown primary (e.g. CUP),Chemotherapy,TP53,TP53,Mutation,Non-response,"NGS, Somatic Mutations",High,Tumor suppressor,Loss of function leads to chemoresistance and poor prognosis,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,KRAS,KRAS,Mutation,Non-response,"NGS, PCR",High,GTPase (enzyme),"Activates downstream pathways, confers resistance to certain chemotherapies","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,BRAF V600E,BRAF,Mutation,Non-response,"NGS, PCR",High,Kinase (enzyme),"Constitutive MAPK pathway activation, linked to poor response","TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,HER2/ERBB2,ERBB2,Amplification,Response,"IHC, FISH, NGS",High,Receptor tyrosine kinase,Overexpression predicts response to HER2-targeted therapy,"TCGA, COSMIC",https://ascopubs.org/doi/10.1200/OA-24-00041
Unknown primary (e.g. CUP),Chemotherapy,MSH2/MSH6,MSH2/MSH6,Mutation,Response,"NGS, IHC",High,DNA repair enzyme,"Deficiency leads to MSI-H, predicts response to immunotherapy","TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/29571084/, https://jitc.bmj.com/content/11/1/e005809"
Unknown primary (e.g. CUP),Chemotherapy,MLH1,MLH1,Mutation,Response,"NGS, IHC",High,DNA repair enzyme,"Loss leads to MSI-H, predicts response to immunotherapy","TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/29571084/, https://jitc.bmj.com/content/11/1/e005809"
Unknown primary (e.g. CUP),Chemotherapy,PD-L1,CD274,Overexpression,Response,IHC,High,Immune checkpoint,High expression predicts response to checkpoint inhibitors,"TCGA, GEO","https://pubmed.ncbi.nlm.nih.gov/29571084/, https://jitc.bmj.com/content/11/1/e005809"
Unknown primary (e.g. CUP),Chemotherapy,TMB (Tumor Mutational Burden),Multiple,High mutation load,Response,NGS,High,N/A,High TMB predicts response to immunotherapy,"TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/29571084/, https://jitc.bmj.com/content/11/1/e005809"
Unknown primary (e.g. CUP),Chemotherapy,MSI-H,Multiple,Genomic instability,Response,"NGS, PCR, IHC",High,N/A,High microsatellite instability predicts response to immunotherapy,"TCGA, COSMIC","https://pubmed.ncbi.nlm.nih.gov/29571084/, https://jitc.bmj.com/content/11/1/e005809"
Bladder Urothelial,Anti-PD-1,PD-1,PDCD1,Expression,Response,"IHC, RNA-seq",Medium,Immune checkpoint receptor,Regulates T-cell exhaustion; blockade restores T-cell function,"TCGA, COSMIC",https://einsteinmed.edu/uploadedFiles/Zang/UrologicOncology2017.pdf
Bladder Urothelial,Anti-PD-1,MSI (Microsatellite Instability),"MLH1, MSH2, MSH6, PMS2","Mutation, Deletion",Response,"PCR, NGS",Medium,DNA repair enzymes,Defective mismatch repair increases neoantigen load,"TCGA, COSMIC","https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
Bladder Urothelial,Anti-PD-1,CD8+ TILs,N/A,Infiltration,Response,"IHC, Flow cytometry",Medium,Immune cell marker,High infiltration indicates active anti-tumor immunity,TCGA,"https://pmc.ncbi.nlm.nih.gov/articles/PMC10486227/, https://jitc.bmj.com/content/5/1/94"
